Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2025-11-15,2025-11-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Etsy,Shopping,Gifts,-88.34
2025-11-15,2025-11-15,Posted,Personal Profile,P2P Transfer,Income,Wages,33.00
2025-11-15,2025-11-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Waymo,Transportation,Taxi & ride shares,-33.18
2025-11-15,2025-11-15,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,27.00
2025-11-15,2025-11-15,Posted,Blue Cash Preferred® ***1009,Credit Card Payment,Debt payments,Credit card payments,530.27
2025-11-15,2025-11-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Uncommongoods,Shopping,Gifts,-92.27
2025-11-14,2025-11-14,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,27.00
2025-11-14,2025-11-15,Posted,Blue Cash Preferred® ***1009,Apple,Transfers,Other transfers,-19.99
2025-11-14,2025-11-14,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,15.00
2025-11-14,2025-11-14,Posted,Prime Visa ***6239,Microsoft,Entertainment,Games,-33.08
2025-11-12,2025-11-14,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-24.23
2025-11-12,2025-11-12,Posted,Personal Profile,"Haley Smith ""partiful.com 🎟 for ""Birthday Season"" 🎉""",Transfers,Account transfers,27.00
2025-11-11,2025-11-11,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,27.00
2025-11-11,2025-11-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,DoorDash,Food & drink,Restaurants & bars,-24.76
2025-11-11,2025-11-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Facey Medical Exer,Health & wellness,Medical,-60.00
2025-11-10,2025-11-10,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Holey Ley Moley,Entertainment,Events & recreation,-205.16
2025-11-10,2025-11-11,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-76.48
2025-11-10,2025-11-10,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,DoorDash,Food & drink,Restaurants & bars,-29.01
